date,total
2021-09-24,5841070567
2021-09-25,2457727981
2021-09-26,1638864290
2021-09-27,6849868205
2021-09-28,7611358566
2021-09-29,6803458808
2021-09-30,6643367364
2021-10-01,6212122134
2021-10-02,2074856001
2021-10-03,1504731436
2021-10-04,5724783048
2021-10-05,6199982448
2021-10-06,5600663602
2021-10-07,5963764961
2021-10-08,6565625890
2021-10-09,2177516502
2021-10-10,2050699507
2021-10-11,5710142166
2021-10-12,6294524454
2021-10-13,6568822976
2021-10-14,6777977623
2021-10-15,6488611124
2021-10-16,2264226053
2021-10-17,1540239829
2021-10-18,7073492020
2021-10-19,6389066458
2021-10-20,7059629335
2021-10-21,6310158043
2021-10-22,7384242216
2021-10-23,2173197830
2021-10-24,1599739868
2021-10-25,7528131389
2021-10-26,6373586170
2021-10-27,6759024424
2021-10-28,7038670780
2021-10-29,6911082263
2021-10-30,2851380667
2021-10-31,1929685366
2021-11-01,7014409735
2021-11-02,6341734490
2021-11-03,5589490452
2021-11-04,6025081733
2021-11-05,7008229472
2021-11-06,2373879405
2021-11-07,1702047165
2021-11-08,6444900182
2021-11-09,5146026077
2021-11-10,7064152169
2021-11-11,6911990620
2021-11-12,6981048068
2021-11-13,2387620706
2021-11-14,1638921856
2021-11-15,7003603187
2021-11-16,7199981687
2021-11-17,6202818419
2021-11-18,6565126772
2021-11-19,7143574654
2021-11-20,2988978274
2021-11-21,1749353768
2021-11-22,8853596927
2021-11-23,6496271299
2021-11-24,7090050406
2021-11-25,7211556735
2021-11-26,7952128464
2021-11-27,2537742239
2021-11-28,1829141949
2021-11-29,8600684339
2021-11-30,7241380520
2021-12-01,6596422328
2021-12-02,6247550721
2021-12-03,7262538189
2021-12-04,2516398991
2021-12-05,1590959584
2021-12-06,8656063036
2021-12-07,6273276311
2021-12-08,7208920537
2021-12-09,8119439076
2021-12-10,7999964154
2021-12-11,2225420211
2021-12-12,1629977368
2021-12-13,8832837964
2021-12-14,8258526396
2021-12-15,7821418746
2021-12-16,8429108657
2021-12-17,8631157603
2021-12-18,2565845961
2021-12-19,1935751203
2021-12-20,9634889814
2021-12-21,8158799012
2021-12-22,9683116927
2021-12-23,7556610269
2021-12-24,3594825212
2021-12-25,2144057531
2021-12-26,1665726421
2021-12-27,7632967927
2021-12-28,6693301349
2021-12-29,6529617553
2021-12-30,10082089489
2021-12-31,6175901868
2022-01-01,2209513699
2022-01-02,1719772121
2022-01-03,5595409064
2022-01-04,6001240795
2022-01-05,5400338303
2022-01-06,8718689284
2022-01-07,5180545965
2022-01-08,2201577131
2022-01-09,1568300987
2022-01-10,7297706694
2022-01-11,5674244078
2022-01-12,6146312390
2022-01-13,7281896342
2022-01-14,7067158323
2022-01-15,1963484342
2022-01-16,1756646643
2022-01-17,6986345437
2022-01-18,6761075618
2022-01-19,6712040740
2022-01-20,7816971634
2022-01-21,7595541164
2022-01-22,2439371609
2022-01-23,1600255130
2022-01-24,7534605601
2022-01-25,6926825278
2022-01-26,6655482971
2022-01-27,6799923897
2022-01-28,7503840201
2022-01-29,2376959592
2022-01-30,2079275362
2022-01-31,6958609375
2022-02-01,6538860943
2022-02-02,5858764351
2022-02-03,6388880577
2022-02-04,6794294833
2022-02-05,2515774468
2022-02-06,1691236348
2022-02-07,6987928227
2022-02-08,6583807741
2022-02-09,6140329659
2022-02-10,7504300514
2022-02-11,7523853750
2022-02-12,2436574020
2022-02-13,1820070419
2022-02-14,7633504682
2022-02-15,6900127331
2022-02-16,6977102576
2022-02-17,6432706355
2022-02-18,7512894066
2022-02-19,2755852509
2022-02-20,2289517286
2022-02-21,8446723708
2022-02-22,7859433530
2022-02-23,6718217581
2022-02-24,7047351646
2022-02-25,8135911005
2022-02-26,2534320662
2022-02-27,2054844754
2022-02-28,7139719356
2022-03-01,6798621247
2022-03-02,5890542917
2022-03-03,6614032628
2022-03-04,7095146319
2022-03-05,2569553225
2022-03-06,1829434839
2022-03-07,8179888293
2022-03-08,7424784359
2022-03-09,6931650016
2022-03-10,8128562993
2022-03-11,7428974551
2022-03-12,2603487692
2022-03-13,2014746226
2022-03-14,7756780360
2022-03-15,6966785406
2022-03-16,6376617371
2022-03-17,6371509518
2022-03-18,6488677770
2022-03-19,2399966475
2022-03-20,2388617056
2022-03-21,7370627982
2022-03-22,8259996084
2022-03-23,6110739792
2022-03-24,6699575488
2022-03-25,7135316671
2022-03-26,2468821409
2022-03-27,1720188861
2022-03-28,7544320916
2022-03-29,7771145670
2022-03-30,8436710999
2022-03-31,7816274097
2022-04-01,7600141134
2022-04-02,2535760362
2022-04-03,1704299370
2022-04-04,7919011916
2022-04-05,7039976994
2022-04-06,6840391963
2022-04-07,7326420523
2022-04-08,8266580571
2022-04-09,2600488639
2022-04-10,2342279657
2022-04-11,8045139539
2022-04-12,7290510344
2022-04-13,7379375111
2022-04-14,7441870764
2022-04-15,8087400711
2022-04-16,2480054158
2022-04-17,1753284201
2022-04-18,8781645814
2022-04-19,7795525298
2022-04-20,8952922130
2022-04-21,7557321004
2022-04-22,7908220851
2022-04-23,2473999657
2022-04-24,1808173161
2022-04-25,9518152089
2022-04-26,7560805380
2022-04-27,8321786747
2022-04-28,9167755811
2022-04-29,7284212734
2022-04-30,2378555309
2022-05-01,1891459182
2022-05-02,8458965818
2022-05-03,6650867586
2022-05-04,6571461033
2022-05-05,7126642206
2022-05-06,7521425168
2022-05-07,2613794221
2022-05-08,1943307495
2022-05-09,7457615201
2022-05-10,7774250209
2022-05-11,7151453858
2022-05-12,8184411413
2022-05-13,7664507987
2022-05-14,2426003094
2022-05-15,2010179804
2022-05-16,6302151684
2022-05-17,7396900467
2022-05-18,7185547774
2022-05-19,7103663564
2022-05-20,8961900461
2022-05-21,2542616359
2022-05-22,1926332065
2022-05-23,8799687041
2022-05-24,7705622754
2022-05-25,7310071683
2022-05-26,7051220193
2022-05-27,7837345932
2022-05-28,2570170808
2022-05-29,1839464827
2022-05-30,10114320640
2022-05-31,7801420879
2022-06-01,7591436841
2022-06-02,6134649095
2022-06-03,7087453781
2022-06-04,2879019433
2022-06-05,2085845747
2022-06-06,6523480508
2022-06-07,7554532470
2022-06-08,7195359294
2022-06-09,7718053166
2022-06-10,8520805788
2022-06-11,2776221096
2022-06-12,2194356089
2022-06-13,8049044053
2022-06-14,7463359600
2022-06-15,8101269086
2022-06-16,7323286920
2022-06-17,7712383309
2022-06-18,2843108773
2022-06-19,2161766130
2022-06-20,9412101803
2022-06-21,7899951899
2022-06-22,8731841119
2022-06-23,7771561546
2022-06-24,7397022331
2022-06-25,3077650993
2022-06-26,2283448881
2022-06-27,9235563383
2022-06-28,8057078588
2022-06-29,8539207814
2022-06-30,8624771248
2022-07-01,6947748652
2022-07-02,2456640942
2022-07-03,1877651000
2022-07-04,7106071177
2022-07-05,7144083132
2022-07-06,6994229676
2022-07-07,7184677789
2022-07-08,7703859313
2022-07-09,2594698362
2022-07-10,2544060623
2022-07-11,7909498187
2022-07-12,7336417048
2022-07-13,7033337555
2022-07-14,7404688699
2022-07-15,8067886612
2022-07-16,2720543512
2022-07-17,1889110991
2022-07-18,7797393507
2022-07-19,7283975208
2022-07-20,7712782488
2022-07-21,7394039751
2022-07-22,9054267904
2022-07-23,2693287046
2022-07-24,2062154399
2022-07-25,7531821440
2022-07-26,9161270638
2022-07-27,8219888715
2022-07-28,9073468194
2022-07-29,6990615758
2022-07-30,2876947885
2022-07-31,2242081128
2022-08-01,7147947404
2022-08-02,5799630602
2022-08-03,6206883060
2022-08-04,6248807813
2022-08-05,7019945296
2022-08-06,2327018565
2022-08-07,1855667694
2022-08-08,7422758228
2022-08-09,6257290120
2022-08-10,6787256247
2022-08-11,5856108532
