date,columna1,columna2,columna3,columna4,columna5,columna6,columna7,columna8,columna9,columna10,columna11,columna12,columna13,columna14,columna15,columna16,columna17,columna18,columna19,columna20,columna21,columna22,columna23,columna24,columna25,columna26,columna27,columna28,columna29,columna30,columna31,columna32,columna33
2017-07-22,1004812943,958213908,139775950,53795961,26058234,3827322,6619686,2446250,3541194,4639136,9889555,3450874,19525928,2726062,359579,2896169,8939474,2335257,1522536,195245,617476,619761397,14090310,255276858,350394229,263255204,10450248,76688777,16399230,52548847,38756531,13792316,84646870
2017-07-23,364681898,333904659,53153071,24043887,258075,874865,3828126,863475,255771,5897287,3540591,4377081,5097797,3196120,613214,306782,5873135,9737668,9128309,184999,424360,125299896,3525049,43505546,78269301,46621196,9027558,22620547,28338009,50446567,37242281,13204286,35961332
2017-07-24,3318053162,2867455436,752438952,185897722,42208775,27233508,28390987,72449219,51077972,51263440,78689981,17947100,138427566,14183593,30162363,14506726,173277404,101254316,59084892,11377619,30791805,1414263061,190969093,851538393,371755575,242270696,19940617,109544262,235586090,67209935,55286602,11923333,87564787
2017-07-25,3137991167,2739225563,671294633,156843079,35834396,18798303,22775809,66093338,53564864,52506466,75396048,26367954,75537698,11936655,30658939,44981084,137346708,120746336,64730394,17412882,38603060,1359922096,208144573,839184208,312593315,195828672,17672130,99092513,92976123,56037708,43165594,12872114,173868848
2017-07-26,3404261012,3036029208,667728351,176823452,33883479,22671440,23768931,62771766,38050113,50567469,77657569,33318400,78127586,15814045,45154019,9120082,133642459,171839263,97459533,38442947,35936783,1560009220,223272521,1006701777,330034922,207545272,14999529,107490121,111641473,53229198,40338480,12890718,193728407
2017-07-27,3266408766,2843363203,771098254,185708915,39349547,24377254,23297089,75503110,50703896,53106823,86680692,20451273,125337282,15212002,26197839,45172532,217384075,123318482,73890398,15299710,34128374,1462992245,264136892,868816003,330039350,212269051,15147874,102622425,71449483,58097734,43784614,14313120,150850484
2017-07-28,3653098975,3287564210,871160742,254292179,65966849,26916942,42861790,84418069,51953252,64007481,92422150,26893683,94192258,18448481,35442622,13344986,122878210,137558885,64657477,35019522,37881886,1704395055,250941056,1081076907,372377092,252292100,18244486,101840506,81425363,66605988,48058921,18547067,98719060
2017-07-29,926025776,884543200,136738261,50629537,32820657,3076615,7146852,5833113,1884662,5691989,5034992,6879252,10190015,3046347,669370,3834860,13124196,3995672,1717595,191637,2086440,615988466,20607125,233358535,362022806,267610626,11776179,82636001,19343170,55463736,39413650,16050086,6035704
2017-07-30,642434091,598071464,92341564,19367605,7061207,905166,5543449,10005564,377685,11185897,10750447,8963301,3338932,5196185,3398375,6247751,8429727,30488230,15260085,3918187,11309958,225757092,14704166,120287158,90765768,47955250,10727698,32082820,43775588,56364683,40388994,15975689,19609837
2017-07-31,18910094539,17066381911,4350490719,1006016329,177467827,107476884,287918701,558703736,107774858,355442275,312462955,95656000,216840373,103310867,93462855,927957059,654739070,1004705998,453875623,260009315,290821060,6873156415,724352598,4509746385,1639057432,815656207,450279054,373122171,1364256110,206055629,75042263,131013366,685538350
