date,total
2018-03-29,2293698245
2018-03-30,1107250156
2018-03-31,15988133239
2018-04-01,2084658282
2018-04-02,2380130179
2018-04-03,2920203909
2018-04-04,2860611592
2018-04-05,2915147478
2018-04-06,3399280700
2018-04-07,970974370
2018-04-08,438265247
2018-04-09,3141425565
2018-04-10,3560409122
2018-04-11,3234495120
2018-04-12,3159707941
2018-04-13,3741470890
2018-04-14,977305524
2018-04-15,1605399438
2018-04-16,3897721566
2018-04-17,3259339567
2018-04-18,2893032680
2018-04-19,3167205087
2018-04-20,4290470524
2018-04-21,936125077
2018-04-22,434668830
2018-04-23,3150490625
2018-04-24,3423816324
2018-04-25,3860577375
2018-04-26,3588903250
2018-04-27,4396213778
2018-04-28,1003135319
2018-04-29,381879409
2018-04-30,20401049289
2018-05-01,1981896623
2018-05-02,2577231698
2018-05-03,3134146792
2018-05-04,3481455728
2018-05-05,1106786436
2018-05-06,357271403
2018-05-07,3530140819
2018-05-08,3207979696
2018-05-09,3122661504
2018-05-10,3704787891
2018-05-11,3642277271
2018-05-12,962504326
2018-05-13,361060587
2018-05-14,3527158938
2018-05-15,4156936761
2018-05-16,3470114941
2018-05-17,3301269522
2018-05-18,4696357365
2018-05-19,1050091161
2018-05-20,717638151
2018-05-21,3413173931
2018-05-22,3557366464
2018-05-23,3137600080
2018-05-24,3089887994
2018-05-25,3911327705
2018-05-26,956175718
2018-05-27,350531270
2018-05-28,3783065814
2018-05-29,3731284430
2018-05-30,4150341916
2018-05-31,21536717630
2018-06-01,5274832200
2018-06-02,908161461
2018-06-03,413810300
2018-06-04,3362075671
2018-06-05,3235191883
2018-06-06,3049607977
2018-06-07,3205868954
2018-06-08,3466288215
2018-06-09,967265049
2018-06-10,759552315
2018-06-11,3650657427
2018-06-12,3296245137
2018-06-13,3438847374
2018-06-14,3289774737
2018-06-15,5232639912
2018-06-16,1014644930
2018-06-17,334651876
2018-06-18,3907094342
2018-06-19,3500253513
2018-06-20,3935428580
2018-06-21,3780533106
2018-06-22,4098936987
2018-06-23,983802878
2018-06-24,373204992
2018-06-25,4016275108
2018-06-26,4054538018
2018-06-27,3737777422
2018-06-28,4313568500
2018-06-29,6152506542
2018-06-30,17816031974
2018-07-01,2193968138
2018-07-02,3927942917
2018-07-03,3056244397
2018-07-04,3201650013
2018-07-05,3994861431
2018-07-06,3463225657
2018-07-07,1050349185
2018-07-08,497040276
2018-07-09,3520571753
2018-07-10,4173817457
2018-07-11,3078449127
2018-07-12,3524214126
2018-07-13,3942271243
2018-07-14,1021643919
2018-07-15,1866555517
2018-07-16,3531754368
2018-07-17,3345603583
2018-07-18,3025269668
2018-07-19,3325144487
2018-07-20,4581081692
2018-07-21,996786614
2018-07-22,477254359
2018-07-23,3663623167
2018-07-24,3277513834
2018-07-25,3407648030
2018-07-26,3499254047
2018-07-27,3921682907
2018-07-28,991925557
2018-07-29,352543664
2018-07-30,5036949943
2018-07-31,20986916214
2018-08-01,5216425667
2018-08-02,3004466181
2018-08-03,2966896302
2018-08-04,1109813448
2018-08-05,504752226
2018-08-06,3055349644
2018-08-07,2859608811
2018-08-08,2715960077
2018-08-09,3257487182
2018-08-10,3713496211
2018-08-11,890522249
2018-08-12,397274009
2018-08-13,2849596206
2018-08-14,2693916186
2018-08-15,1374410859
2018-08-16,2577319740
2018-08-17,2800731594
2018-08-18,811214053
2018-08-19,451766730
2018-08-20,3227767639
2018-08-21,2637193581
2018-08-22,2851499967
2018-08-23,2769730517
2018-08-24,2704188140
2018-08-25,981789153
2018-08-26,414237594
2018-08-27,3165634582
2018-08-28,3224593471
2018-08-29,3417601741
2018-08-30,3684549232
2018-08-31,19548806872
2018-09-01,2501187812
2018-09-02,385341308
2018-09-03,3373397475
2018-09-04,3077882170
2018-09-05,2800464529
2018-09-06,3034923228
2018-09-07,3381983674
2018-09-08,1006844961
2018-09-09,382170150
2018-09-10,3677554664
2018-09-11,2768381753
2018-09-12,3153175816
2018-09-13,3234462754
2018-09-14,3535152663
2018-09-15,2065132163
2018-09-16,430825339
2018-09-17,3948584431
2018-09-18,3273863555
2018-09-19,3443414564
2018-09-20,3874629213
2018-09-21,3882986591
2018-09-22,976603174
2018-09-23,406749848
2018-09-24,3447187806
2018-09-25,3692204981
2018-09-26,3945520639
2018-09-27,4188602890
2018-09-28,6715280257
2018-09-29,1538647673
2018-09-30,15899342872
2018-10-01,5634086183
2018-10-02,3001239601
2018-10-03,2912634070
2018-10-04,3179052687
2018-10-05,3778911170
2018-10-06,1053335800
2018-10-07,534491919
2018-10-08,3860978526
2018-10-09,3182964900
2018-10-10,3786171092
2018-10-11,3705778151
2018-10-12,730858800
2018-10-13,1000192096
2018-10-14,415750858
2018-10-15,5310084656
2018-10-16,3714674112
2018-10-17,3108799145
2018-10-18,3021733533
2018-10-19,3451415984
2018-10-20,1696635167
2018-10-21,411025218
2018-10-22,4465155286
2018-10-23,3246890898
2018-10-24,3146901527
2018-10-25,3915956531
2018-10-26,3836886401
2018-10-27,1027966460
2018-10-28,385091079
2018-10-29,4048691144
2018-10-30,4471237057
2018-10-31,22257679213
2018-11-01,2342958528
2018-11-02,3052486727
2018-11-03,898771598
2018-11-04,545967588
2018-11-05,3636584858
2018-11-06,3365283879
2018-11-07,3311743293
2018-11-08,3344513057
2018-11-09,2878285582
2018-11-10,1387189003
2018-11-11,409938934
2018-11-12,3699345456
2018-11-13,3412110317
2018-11-14,3205984447
2018-11-15,5028357175
2018-11-16,3787709155
2018-11-17,928107212
2018-11-18,352298320
2018-11-19,4030786310
2018-11-20,3926736935
2018-11-21,3145068757
2018-11-22,3913521716
2018-11-23,3764385419
2018-11-24,1172389601
2018-11-25,695278668
2018-11-26,4790665049
2018-11-27,3580167035
2018-11-28,3676707377
2018-11-29,4111454900
2018-11-30,22302329604
2018-12-01,2601952654
2018-12-02,521049837
2018-12-03,4578934845
2018-12-04,3485301993
2018-12-05,3668768603
2018-12-06,745501971
2018-12-07,3030428574
2018-12-08,824252454
2018-12-09,428966316
2018-12-10,4486243935
2018-12-11,3694698587
2018-12-12,4377224330
2018-12-13,4114883847
2018-12-14,4737914839
2018-12-15,2485038770
2018-12-16,527506760
2018-12-17,5369414817
2018-12-18,4863208564
2018-12-19,4922127596
2018-12-20,6326769241
2018-12-21,4891398955
2018-12-22,1324778294
2018-12-23,671188745
2018-12-24,2115802497
2018-12-25,363611813
2018-12-26,3525661655
2018-12-27,4738588394
2018-12-28,5269213247
2018-12-29,1160588919
2018-12-30,1121204809
2018-12-31,19821570830
2019-01-01,2152312016
2019-01-02,3417510482
2019-01-03,2819494601
2019-01-04,2874762226
2019-01-05,1076108941
2019-01-06,249201059
2019-01-07,1946743667
2019-01-08,3363474856
2019-01-09,3028303509
2019-01-10,3944429361
2019-01-11,3340475135
2019-01-12,1005588770
2019-01-13,453905181
2019-01-14,3571825500
2019-01-15,4182985642
2019-01-16,3010835128
2019-01-17,2957736039
2019-01-18,3692998774
2019-01-19,1055847004
2019-01-20,737563755
2019-01-21,3977031626
2019-01-22,3562896114
2019-01-23,2977991743
2019-01-24,2987209640
2019-01-25,3570960333
2019-01-26,908449504
2019-01-27,357466417
2019-01-28,3532469276
2019-01-29,3395265457
2019-01-30,3902872373
2019-01-31,21408183158
2019-02-01,4882445107
2019-02-02,875096066
2019-02-03,331544349
2019-02-04,3265019264
2019-02-05,2985912208
2019-02-06,3124921436
2019-02-07,3128161296
2019-02-08,3405418604
2019-02-09,957608092
2019-02-10,789440438
2019-02-11,3756203416
2019-02-12,3199427589
2019-02-13,3102008456
2019-02-14,3118655777
2019-02-15,5093051421
2019-02-16,959043218
2019-02-17,393827538
2019-02-18,3756689035
2019-02-19,3249675350
2019-02-20,3684869904
2019-02-21,3246252422
2019-02-22,3932533312
2019-02-23,861965099
2019-02-24,394475191
2019-02-25,4103187236
2019-02-26,3857222061
2019-02-27,4306978428
2019-02-28,20074203366
2019-03-01,4811464718
2019-03-02,892930562
2019-03-03,335455520
2019-03-04,3197753756
2019-03-05,3222252812
2019-03-06,2928346175
2019-03-07,3415630229
2019-03-08,3462218465
2019-03-09,904505340
2019-03-10,768447095
2019-03-11,3826419960
2019-03-12,3233573041
2019-03-13,3236193293
2019-03-14,3182355191
2019-03-15,5475013809
2019-03-16,946405052
2019-03-17,371154472
2019-03-18,3609801170
2019-03-19,3000759765
2019-03-20,3995666596
2019-03-21,3196883875
2019-03-22,3940732090
2019-03-23,893839229
2019-03-24,367214944
2019-03-25,4210198258
2019-03-26,3672702383
2019-03-27,3974842670
2019-03-28,4182526337
2019-03-29,6387928415
2019-03-30,1991003724
2019-03-31,15409303344
2019-04-01,5230243717
2019-04-02,2884034467
2019-04-03,2808539890
2019-04-04,3189577570
2019-04-05,3612241564
2019-04-06,1026967915
2019-04-07,413245347
2019-04-08,3654141469
2019-04-09,3730476779
2019-04-10,3855152086
2019-04-11,3199305860
2019-04-12,3983248238
2019-04-13,1092820926
2019-04-14,427437595
2019-04-15,5551079074
2019-04-16,3731848149
2019-04-17,3169250659
2019-04-18,1340939079
2019-04-19,616962084
2019-04-20,1243649196
2019-04-21,415977023
2019-04-22,2577072596
2019-04-23,3290826942
2019-04-24,3788985770
2019-04-25,3889520335
2019-04-26,4405571878
2019-04-27,960762491
2019-04-28,473421081
2019-04-29,4124403742
2019-04-30,21646782893
2019-05-01,1870006434
2019-05-02,2711238645
2019-05-03,3261496573
2019-05-04,1193946418
2019-05-05,459679280
2019-05-06,3208546489
2019-05-07,3192282575
2019-05-08,3579391534
2019-05-09,3095370418
2019-05-10,4099618285
2019-05-11,996564821
2019-05-12,469739452
2019-05-13,3693956043
2019-05-14,3286213875
2019-05-15,4355880453
2019-05-16,3449359089
2019-05-17,3785197134
2019-05-18,954528673
2019-05-19,456094506
2019-05-20,4053657915
2019-05-21,3400157090
2019-05-22,3705667720
2019-05-23,3208879855
2019-05-24,3669660126
2019-05-25,1174841114
2019-05-26,459775543
2019-05-27,3944195029
2019-05-28,3597167391
2019-05-29,3706265513
2019-05-30,4477846818
2019-05-31,22048806071
2019-06-01,2493601327
2019-06-02,435879604
2019-06-03,3754733503
2019-06-04,3235037776
2019-06-05,3795232672
2019-06-06,3490215773
2019-06-07,3553488253
2019-06-08,1124773943
2019-06-09,385518668
2019-06-10,3662025261
2019-06-11,3237192786
2019-06-12,3521277732
2019-06-13,4187483337
2019-06-14,4133962302
2019-06-15,2456302695
2019-06-16,526662660
2019-06-17,3942374120
2019-06-18,3354833746
2019-06-19,3612956162
2019-06-20,4369840961
2019-06-21,4309860034
2019-06-22,1148812391
2019-06-23,474614267
2019-06-24,2694303899
2019-06-25,4031180007
2019-06-26,4353174159
2019-06-27,4535245157
2019-06-28,6604388536
2019-06-29,1681405382
2019-06-30,16485847781
2019-07-01,5836720447
2019-07-02,2991234939
2019-07-03,2958165251
2019-07-04,3860661010
2019-07-05,3929413108
2019-07-06,1082730940
2019-07-07,564981049
2019-07-08,3656140237
2019-07-09,3506696547
2019-07-10,3771298986
2019-07-11,3248331792
2019-07-12,3998141237
2019-07-13,1115769814
2019-07-14,497716781
2019-07-15,5349685518
2019-07-16,3415185844
2019-07-17,3221477008
2019-07-18,3265733678
2019-07-19,3602029569
2019-07-20,1507431035
2019-07-21,519361380
2019-07-22,4246341745
2019-07-23,3363770108
2019-07-24,3373467049
2019-07-25,3785889639
2019-07-26,4159088270
2019-07-27,995062638
2019-07-28,550129919
2019-07-29,4074496070
2019-07-30,4296200417
2019-07-31,21736440250
2019-08-01,5593912870
2019-08-02,2994118891
2019-08-03,925526313
2019-08-04,642175022
2019-08-05,3114042752
2019-08-06,2922264641
2019-08-07,3106358579
2019-08-08,2912094590
2019-08-09,3146406983
2019-08-10,1349800022
2019-08-11,461006534
2019-08-12,3001344160
2019-08-13,2661369327
2019-08-14,2955402048
2019-08-15,1416515791
2019-08-16,2396412342
2019-08-17,824075541
2019-08-18,409513617
2019-08-19,3093962797
2019-08-20,3022308025
2019-08-21,2502266605
2019-08-22,2565324156
2019-08-23,3096009460
2019-08-24,821343853
2019-08-25,579479729
2019-08-26,3223447063
2019-08-27,3037655746
2019-08-28,3402915437
2019-08-29,3450307696
2019-08-30,6177951322
2019-08-31,15189586625
2019-09-01,2090390720
2019-09-02,3415729893
2019-09-03,2837897986
2019-09-04,3001017816
2019-09-05,3342869525
2019-09-06,3489866054
2019-09-07,957056358
2019-09-08,523383559
2019-09-09,3149464914
2019-09-10,3667041492
2019-09-11,2480975880
2019-09-12,3232268746
2019-09-13,3536124988
2019-09-14,997286082
2019-09-15,1647246134
2019-09-16,3655857348
2019-09-17,3137733478
2019-09-18,3176634338
2019-09-19,3224170168
2019-09-20,4684059446
2019-09-21,956739758
2019-09-22,494379870
2019-09-23,3450691723
2019-09-24,3036474361
2019-09-25,3863653320
2019-09-26,4057814533
2019-09-27,4550653789
2019-09-28,1069006617
2019-09-29,514451252
2019-09-30,22205523159
2019-10-01,5248487640
2019-10-02,2799019599
2019-10-03,2814513392
2019-10-04,3455222111
2019-10-05,1066435500
2019-10-06,431545204
2019-10-07,3563571941
2019-10-08,3210779246
2019-10-09,2872387792
2019-10-10,4331856890
2019-10-11,3320143097
2019-10-12,729929474
2019-10-13,523060501
2019-10-14,3819585752
2019-10-15,4808122378
2019-10-16,3203555676
2019-10-17,3287887491
2019-10-18,3385754525
2019-10-19,1131859275
2019-10-20,780237552
2019-10-21,3615789607
2019-10-22,3725474086
2019-10-23,3060656838
2019-10-24,3175453263
2019-10-25,4006864523
2019-10-26,974609981
2019-10-27,428249273
2019-10-28,3817292461
2019-10-29,3921254698
2019-10-30,4278459339
2019-10-31,21842541023
2019-11-01,2224517832
2019-11-02,885774018
2019-11-03,398343446
2019-11-04,3761213034
2019-11-05,3265615017
2019-11-06,2981745307
2019-11-07,3631247744
2019-11-08,3918900917
2019-11-09,978791022
2019-11-10,748488840
2019-11-11,3568628265
2019-11-12,3407817062
2019-11-13,3215991609
2019-11-14,3490221260
2019-11-15,5272519240
2019-11-16,1002849053
2019-11-17,345302889
2019-11-18,3870809662
2019-11-19,3388789791
2019-11-20,3859121339
2019-11-21,3507204064
2019-11-22,4074993013
2019-11-23,951344893
2019-11-24,369353987
2019-11-25,3991304785
2019-11-26,4200865904
2019-11-27,3838300724
2019-11-28,4128905007
2019-11-29,6705401315
2019-11-30,16833082954
2019-12-01,2010289479
2019-12-02,4123180902
2019-12-03,3266766605
2019-12-04,3632005168
2019-12-05,4136494581
2019-12-06,846682914
2019-12-07,1043915455
2019-12-08,524743458
2019-12-09,2309048338
2019-12-10,4618659763
2019-12-11,4406524002
2019-12-12,4066571567
2019-12-13,4517849265
2019-12-14,1127971215
2019-12-15,1856484525
2019-12-16,5357017488
2019-12-17,4389948288
2019-12-18,4414957512
2019-12-19,5236484754
2019-12-20,5964609788
2019-12-21,1217867742
2019-12-22,694028656
2019-12-23,4341972760
2019-12-24,2116062802
2019-12-25,332906589
2019-12-26,3106359579
2019-12-27,4340562151
2019-12-28,1099885982
2019-12-29,543691877
2019-12-30,6144506028
2019-12-31,19574109663
2020-01-01,1876531580
2020-01-02,3124033772
2020-01-03,2704046001
2020-01-04,1322360662
2020-01-05,577861252
2020-01-06,361188506
2020-01-07,3111658499
2020-01-08,2945432199
2020-01-09,2909282110
2020-01-10,3820532738
2020-01-11,1071537137
2020-01-12,454656715
2020-01-13,3557103995
2020-01-14,3679811689
2020-01-15,4641078582
2020-01-16,3092761587
2020-01-17,3448862056
2020-01-18,933156822
2020-01-19,440997892
2020-01-20,3959370433
2020-01-21,3137890160
2020-01-22,3346942969
2020-01-23,2996102162
2020-01-24,3521282046
2020-01-25,1112249621
2020-01-26,418257516
2020-01-27,3863266327
2020-01-28,3255094668
2020-01-29,3259745905
2020-01-30,3903368531
2020-01-31,21359962954
2020-02-01,2337050512
2020-02-02,335466754
2020-02-03,3226920736
2020-02-04,3040163090
2020-02-05,2846402571
2020-02-06,2925323250
2020-02-07,3347752129
2020-02-08,1084770215
2020-02-09,355495620
2020-02-10,3695691839
2020-02-11,3167896969
2020-02-12,3176476367
2020-02-13,3254420037
2020-02-14,3796348144
2020-02-15,2303935793
2020-02-16,408265946
2020-02-17,3517579270
2020-02-18,3410440403
2020-02-19,3522901511
2020-02-20,3813558518
2020-02-21,3952162055
2020-02-22,977404520
2020-02-23,375294213
2020-02-24,3515724814
2020-02-25,3996655488
2020-02-26,3592140347
2020-02-27,4023155301
2020-02-28,6336351577
2020-02-29,15049066658
2020-03-01,1836302812
2020-03-02,3258879343
2020-03-03,2925016407
2020-03-04,3159849605
2020-03-05,3093990108
2020-03-06,3478780204
2020-03-07,999538986
2020-03-08,469533122
2020-03-09,3357225927
2020-03-10,4014237001
2020-03-11,3171699590
2020-03-12,3705288434
2020-03-13,4014167811
2020-03-14,992861394
2020-03-15,1495428199
2020-03-16,3301614256
2020-03-17,2681891099
2020-03-18,2849267626
2020-03-19,2632302868
2020-03-20,3451911680
2020-03-21,660410251
2020-03-22,308736577
2020-03-23,3328441186
2020-03-24,2437936111
2020-03-25,2793165408
2020-03-26,2433488775
2020-03-27,2776075504
2020-03-28,673124237
2020-03-29,367887950
2020-03-30,3279681904
2020-03-31,16891294732
2020-04-01,3759638492
2020-04-02,1810931106
2020-04-03,2094713678
2020-04-04,759860435
2020-04-05,266525150
2020-04-06,2196481826
2020-04-07,2183466822
2020-04-08,2174989626
2020-04-09,996396852
2020-04-10,657552641
2020-04-11,603194011
2020-04-12,230806748
2020-04-13,1802105128
2020-04-14,2376987035
2020-04-15,3295383920
2020-04-16,2259871668
2020-04-17,2533003818
2020-04-18,558959131
2020-04-19,326114719
2020-04-20,2842718280
2020-04-21,2372456413
2020-04-22,2461902124
2020-04-23,2424844021
2020-04-24,2345118491
2020-04-25,724491816
2020-04-26,265061588
2020-04-27,2713771991
2020-04-28,2391736953
2020-04-29,2503085481
2020-04-30,14319681086
2020-05-01,1507854415
2020-05-02,604917656
2020-05-03,281848469
2020-05-04,2632651744
2020-05-05,2198341322
2020-05-06,2107210415
2020-05-07,2603253373
2020-05-08,2534164969
2020-05-09,670876318
2020-05-10,558753459
2020-05-11,2439197837
2020-05-12,2363961046
2020-05-13,2251161410
2020-05-14,2371013372
2020-05-15,3278074092
2020-05-16,666375003
2020-05-17,229550301
2020-05-18,2633414156
2020-05-19,2656874006
2020-05-20,2960867792
2020-05-21,2722181806
2020-05-22,3021477928
2020-05-23,697370194
2020-05-24,244614768
2020-05-25,3130118483
2020-05-26,2667355205
2020-05-27,2640506927
2020-05-28,3071404474
2020-05-29,4886998993
2020-05-30,1736091770
2020-05-31,11252902862
2020-06-01,4127626672
2020-06-02,2426312554
2020-06-03,2398448335
2020-06-04,2738328543
2020-06-05,3026987645
2020-06-06,868288172
2020-06-07,291443046
2020-06-08,2991796383
2020-06-09,2857491576
2020-06-10,3489291341
2020-06-11,2612327528
2020-06-12,3434143756
2020-06-13,871019931
2020-06-14,295748457
2020-06-15,4419413073
2020-06-16,2914594392
2020-06-17,3165323639
2020-06-18,2814373287
2020-06-19,3225716803
2020-06-20,1280847005
2020-06-21,349672424
2020-06-22,3589102889
2020-06-23,3036817236
2020-06-24,2220991698
2020-06-25,3579653690
2020-06-26,3906212227
2020-06-27,910797280
2020-06-28,502825625
2020-06-29,3960363288
2020-06-30,19818839503
2020-07-01,5050119403
2020-07-02,2643883746
2020-07-03,3086991462
2020-07-04,1090141071
2020-07-05,445694325
2020-07-06,3349441131
2020-07-07,3475918822
2020-07-08,3033878143
2020-07-09,3144309645
2020-07-10,3805644588
2020-07-11,894148392
2020-07-12,374003787
2020-07-13,3533500784
2020-07-14,3000431831
2020-07-15,4555060648
2020-07-16,3016491356
2020-07-17,3318888072
2020-07-18,889041243
2020-07-19,454506672
2020-07-20,3790102417
2020-07-21,2960054684
2020-07-22,3189690693
2020-07-23,2939370630
2020-07-24,3695749263
2020-07-25,1058955530
2020-07-26,396179055
2020-07-27,3846760620
2020-07-28,3285595242
2020-07-29,3469611894
2020-07-30,3949707385
2020-07-31,19124541005
2020-08-01,2582647910
2020-08-02,470143372
2020-08-03,3143244237
2020-08-04,2834270843
2020-08-05,2740515391
2020-08-06,2635680298
2020-08-07,3139384878
2020-08-08,977100339
2020-08-09,337265419
2020-08-10,3487754833
2020-08-11,2584374544
2020-08-12,2443090719
2020-08-13,2285847903
2020-08-14,2686082440
2020-08-15,1430334914
2020-08-16,371104455
2020-08-17,2565474894
2020-08-18,2200049122
2020-08-19,2354423315
2020-08-20,2958711864
2020-08-21,2838665282
2020-08-22,836817924
2020-08-23,346216164
2020-08-24,2881147909
2020-08-25,2770619100
2020-08-26,2660930860
2020-08-27,2993536946
2020-08-28,3264071895
2020-08-29,947822329
2020-08-30,634445902
2020-08-31,17960981550
2020-09-01,4272751984
2020-09-02,2546502170
2020-09-03,2974611168
2020-09-04,3116182961
2020-09-05,1022912485
2020-09-06,361153549
2020-09-07,3077629311
2020-09-08,2780124873
2020-09-09,2734244085
2020-09-10,3845549061
2020-09-11,2557848046
2020-09-12,944580604
2020-09-13,415659091
2020-09-14,3155436526
2020-09-15,4633766911
2020-09-16,2935231727
2020-09-17,3004012552
2020-09-18,3396007959
2020-09-19,967813498
2020-09-20,727133953
2020-09-21,3340149473
2020-09-22,3336536049
2020-09-23,3053906358
2020-09-24,3039514955
2020-09-25,4276704717
2020-09-26,952506587
2020-09-27,376951190
2020-09-28,3889891838
2020-09-29,3758398544
